label,eval_calls,doc_write_calls,settimeout_string_calls,function_constructor_calls,iframe_creations,form_creations,dynamic_script_injections,network_js_xhr_open_calls,network_js_fetch_calls,network_js_ws_constructor_calls,cdp_network_requests_total,cdp_network_requests_document,cdp_network_requests_script,cdp_network_requests_fetch,cdp_network_requests_other,cdp_websocket_connections_created,time_to_first_dom_modification_ms,total_script_duration_ms,total_task_duration_ms,analysis_duration_s
0,0,0,0,1,7,0,21,15,14,0,168,17,62,16,73,0,1496.5,0.0,0.0,7.128044128417969
0,8,0,0,1,0,0,0,2,0,0,12,3,5,0,4,0,472.75999999046326,0.0,0.0,3.6041295528411865
0,0,0,0,1,0,0,0,0,0,0,5,2,1,0,2,0,223.59999999403954,0.0,0.0,5.351217985153198
0,0,0,0,1,0,0,0,0,0,0,89,7,6,0,76,0,223.59999999403954,0.0,0.0,3.678614854812622
0,0,0,0,1,1,0,8,2,2,1,314,9,46,30,229,0,341.19999998807907,0.0,0.0,6.579034328460693
0,0,0,0,1,4,0,38,11,2,0,138,8,68,5,57,0,879.0,0.0,0.0,6.854532480239868
0,1412,0,0,1,8,0,22,6,12,0,84,9,31,15,29,0,281.60000002384186,0.0,0.0,5.143910884857178
0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,3,0,22.10000002384185,5.453,62.942,30.21745014190674
0,0,0,0,1,1,1,99,46,11,0,324,3,112,12,197,0,251.8999999761581,578.6080000000001,1978.419,30.670517206192017
0,73,0,0,5,0,0,1,0,1,0,72,3,40,7,22,0,268.5,508.687,803.9739999999999,33.93621134757996
0,0,0,0,1,4,0,4,0,5,0,31,1,9,5,16,0,118.0,0.0,0.0,3.5625832080841064
0,6,0,0,3,14,0,59,10,23,0,173,12,68,24,69,0,644.3999999761581,0.0,0.0,6.459628582000732
0,0,0,0,1,0,0,6,7,4,0,37,1,8,4,24,0,336.39999997615814,0.0,0.0,4.119271993637085
0,59,0,0,1,9,0,22,6,42,0,233,9,73,55,96,0,974.8000000119208,0.0,0.0,4.964373826980591
0,0,0,0,1,0,0,0,0,0,0,19,6,0,0,13,0,28.80000001192093,0.0,0.0,3.3327465057373047
0,1,0,0,1,11,0,30,11,1,0,140,7,29,4,100,0,895.3000000119209,0.0,0.0,5.667372465133667
0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,3,0,15.100000023841858,0.0,0.0,3.328856468200684
0,0,0,0,1,0,0,3,0,1,0,63,1,16,1,45,0,1882.5,0.0,0.0,7.0874457359313965
0,0,0,0,1,0,0,0,0,0,0,48,9,8,4,27,0,223.59999999403954,0.0,0.0,4.102362155914307
0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,4,0,223.59999999403954,0.0,0.0,4.106345653533936
0,0,0,0,1,0,0,6,7,4,0,38,1,8,5,24,0,369.1999999880791,0.0,0.0,3.923799514770508
0,0,0,0,1,0,0,1,0,0,0,11,4,4,0,3,0,344.5,0.0,0.0,3.765717267990112
0,1,2,0,14,14,0,15,9,50,0,230,16,62,50,102,0,524.6999999880791,0.0,0.0,5.936593055725098
0,0,0,0,1,1,0,17,8,1,0,98,1,50,1,46,0,1554.800000011921,0.0,0.0,7.405929327011108
0,1,0,0,1,1,0,3,7,4,0,106,3,25,4,74,0,998.5,0.0,0.0,4.985614538192749
0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,5,0,223.59999999403954,0.0,0.0,3.645815849304199
0,0,0,0,1,0,0,6,7,4,0,38,1,8,4,25,0,262.0,0.0,0.0,3.937714576721192
0,0,0,0,1,0,0,0,0,0,0,43,40,0,0,3,0,13.800000011920927,0.0,0.0,7.70505166053772
0,130,0,0,2,3,0,124,4,11,0,121,3,67,15,36,0,363.6999999880791,0.0,0.0,4.041563272476196
0,0,0,0,1,0,0,3,0,0,0,52,1,4,0,47,0,802.2999999523163,0.0,0.0,4.656799793243408
0,0,0,0,1,0,0,1,1,0,0,15,4,5,0,6,0,826.8999999761581,0.0,0.0,6.329620361328125
0,0,0,0,4,0,0,2,8,0,0,18,2,3,0,13,0,1475.199999988079,0.0,0.0,5.916458606719971
0,1,0,0,1,0,0,1,49,5,0,266,8,87,9,162,0,2673.699999988079,0.0,0.0,7.5974273681640625
0,0,0,0,1,0,0,6,7,4,0,37,1,8,4,24,0,266.60000002384186,0.0,0.0,3.8074800968170166
0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,5,0,223.59999999403954,0.0,0.0,3.422685384750366
0,0,0,0,1,0,0,1,0,0,0,303,17,124,23,139,0,1224.5,0.0,0.0,6.647438287734985
0,2,0,0,2,9,0,63,17,35,0,342,15,83,35,209,0,578.0999999642372,0.0,0.0,6.329914808273315
0,9,0,0,1,7,0,42,11,13,0,294,13,66,19,196,0,422.0,0.0,0.0,6.800994873046875
0,0,0,0,1,0,0,0,0,0,0,9,1,2,0,6,0,177.10000002384186,0.0,0.0,3.4493777751922607
0,0,0,0,1,0,0,9,1,7,0,63,2,22,10,29,0,1983.1000000238416,0.0,0.0,5.957293272018433
0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,4,0,34.10000002384186,0.0,0.0,3.2410154342651367
0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,3,0,223.59999999403954,0.0,0.0,3.617570161819458
0,16,0,0,1,18,0,69,10,11,0,1027,59,359,116,493,0,957.0,0.0,0.0,4.702481746673584
0,17,0,0,1,15,0,17,8,22,0,168,10,29,52,77,0,297.60000002384186,0.0,0.0,4.5510170459747314
0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,4,0,223.59999999403954,0.0,0.0,3.411029815673828
